Date,Bankura_temp,Birbhum_temp,Burdwan_temp,Darjeeling_temp,Hooghly_temp,Howrah_temp,Jalpaiguri_temp,Kochbihar_temp,Kolkata_temp,Malda_temp,Medinipur_temp,Murshidabad_temp,Nadia_temp,North-24-Parganas_temp,North-Dinajpur_temp,Purulia_temp,South-24-Parganas_temp,South-Dinajpur_temp
1993-01-01,18.676401,18.704288,19.065056,15.1969795,19.857288,19.943228,17.156761,17.64766,19.93936,17.291275,19.508837,18.978386,19.780756,19.641842,16.612432,17.940607,16.630499,18.471905
1993-02-01,20.610111,20.57201,21.122616,16.213263,22.400145,22.192062,19.006819,18.966051,22.183287,18.591385,21.81877,21.528154,22.117537,21.9501,18.84414,20.0585,18.74611,19.64551
1993-03-01,27.647846,28.137842,28.247322,22.992617,28.666616,28.174166,25.214014,24.95395,28.761908,26.65857,27.628897,29.046568,29.301178,27.408478,25.50425,26.944546,23.06448,27.415457
1993-04-01,30.435305,30.633644,30.677837,24.232525,30.526499,29.80061,26.261879,26.232798,30.284044,28.807308,29.693747,30.915977,31.194225,28.668541,27.453539,30.306065,24.154442,29.157686
1993-05-01,30.671934,30.844957,30.753334,25.02213,30.443317,29.899038,26.828695,26.894648,30.24508,28.71831,29.84034,30.74676,30.799973,28.803984,27.717451,31.001743,24.230762,29.208426
1993-06-01,29.964113,30.571619,30.358322,26.058357,30.155651,29.648273,27.802896,27.893154,30.040352,29.066103,29.315662,30.750206,30.880014,28.827925,28.344936,30.27813,24.097939,29.535769
1993-07-01,28.771858,29.267029,28.894716,26.416893,29.27724,28.744783,28.154001,28.23763,29.326815,28.137838,28.296303,29.849506,29.9051,28.273668,28.003157,28.662096,23.703243,29.125448
1993-08-01,28.556572,28.95026,28.758251,26.719707,29.130745,28.636192,28.401749,28.513672,29.187078,28.409073,28.172127,29.952627,30.002676,28.142004,28.372301,28.095795,23.896597,29.41529
1993-09-01,27.932737,28.344173,28.434116,26.302437,28.781256,28.260345,27.94272,28.100002,28.802,28.003157,27.769146,29.320026,29.598028,27.82474,27.839207,27.487677,23.649572,28.913363
1993-10-01,26.136757,26.837423,27.032043,24.735949,27.533777,27.139465,26.486477,26.466087,27.659655,26.294672,26.502796,27.758535,28.305143,26.866985,26.148918,25.668087,22.726103,27.099485
